,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30
P01,0.9,0.9,1.8,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8
P02,0.9,0.9,1.8,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8
P03,1.8,1.8,0.9,1.8,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,0.9
P04,1.8,1.8,1.8,0.9,1.8,0.9,1.8,0.9,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,1.8
P05,1.8,1.8,0.9,1.8,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,0.9
P06,1.8,1.8,1.8,0.9,1.8,0.9,1.8,0.9,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,1.8
P07,0.9,0.9,1.8,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,0.9,0.9,1.8,0.9,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8
P08,1.8,1.8,1.8,0.9,1.8,0.9,1.8,0.9,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,1.8
P09,1.8,1.8,1.8,0.9,1.8,0.9,1.8,0.9,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,0.9,1.8,1.8,0.9,1.8,1.8,1.8,1.8
P10,1.8,1.8,0.9,1.8,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,0.9,1.8,1.8,1.8,1.8,1.8,0.9,0.9,1.8,1.8,1.8,1.8,0.9,0.9,1.8,0.9
