,recipe,release,due
0,1,170,534
1,2,161,475
2,3,23,590
3,4,53,550
4,5,44,435
5,6,116,436
6,7,132,400
7,8,71,486
8,9,176,582
9,10,21,595
10,11,128,413
11,12,182,479
12,13,32,590
13,14,128,457
14,15,49,495
15,16,108,586
16,17,96,584
17,18,59,583
18,19,156,480
19,20,107,541
20,21,152,540
21,22,188,400
22,23,88,409
23,24,0,442
24,25,90,546
25,26,191,549
26,27,21,536
27,28,81,407
28,29,104,437
29,30,3,488
30,31,173,422
31,32,59,429
32,33,21,490
33,34,105,510
34,35,132,460
35,36,90,413
36,37,199,437
37,38,126,449
38,39,181,469
39,40,121,496
40,41,55,484
41,42,111,473
42,43,25,546
43,44,183,448
44,45,155,521
45,46,176,478
46,47,95,556
47,48,68,461
48,49,16,526
49,50,152,525
